deal_id,announced_date,deal_name,acquirer,target_or_partner,deal_type,capability_area,region,deal_value_usd_m,deal_value_disclosed,strategic_rationale,build_buy_partner,source_name,source_url,status
D042,2022-02-07,United-Archer Aviation eVTOL Investment,United Airlines,Archer Aviation,Equity Stake,Next-Gen Aircraft,North America,10,True,"United invested in and pre-ordered eVTOL aircraft from Archer to position for urban air mobility/airport shuttle services without building eVTOL manufacturing capability internally.",Partner,United Airlines Press Release,https://hub.united.com/,Completed
D043,2021-10-26,American Airlines-Vertical Aerospace eVTOL Investment,American Airlines,Vertical Aerospace,Equity Stake,Next-Gen Aircraft,Europe,25,True,"American took an equity stake and placed a conditional order for eVTOL aircraft, mirroring United's Archer bet as both legacy carriers hedge on urban air mobility via minority investment.",Partner,American Airlines Press Release,https://news.aa.com/,Completed
D044,2023-01-10,Delta-Joby Aviation eVTOL Partnership,Delta Air Lines,Joby Aviation,Equity Stake,Next-Gen Aircraft,North America,60,True,"Delta invested in Joby and plans to integrate eVTOL airport transfers into its passenger app, a capability-light way to test urban air mobility demand before committing capital to infrastructure.",Partner,Delta Press Release,https://news.delta.com/,Completed
D045,2023-07-12,American Airlines-Universal Hydrogen Partnership,American Airlines,Universal Hydrogen,Tech Partnership,Sustainability/Next-Gen,North America,0,False,"Conditional order for hydrogen-powered regional aircraft retrofit kits lets American explore decarbonization technology without owning the underlying conversion IP.",Partner,American Airlines Press Release,https://news.aa.com/,Completed
D046,2022-04-21,United-CFM/ZeroAvia SAF and Hydrogen Investment,United Airlines,ZeroAvia,Equity Stake,Sustainability,North America,0,False,"United's venture arm (United Airlines Ventures) invested in hydrogen-electric engine development as part of a portfolio approach to sustainability technology betting across multiple partners.",Partner,United Airlines Press Release,https://hub.united.com/,Completed
D047,2021-01-12,Delta-DataArt/Microsoft Cloud Modernization,Delta Air Lines,Microsoft,Tech Partnership,IT/Cloud Infrastructure,North America,0,False,"Multi-year cloud and AI partnership with Microsoft to modernize operations and customer experience systems, a buy/partner approach to core IT infrastructure versus building proprietary cloud.",Partner,Delta Press Release,https://news.delta.com/,Completed
D048,2023-03-29,American Airlines-IBM AI Partnership for Ops,American Airlines,IBM,Tech Partnership,IT/Operations Tech,North America,0,False,"Partnership applies AI/ML to irregular operations recovery (crew, gate, and schedule disruption), illustrating a partner-led approach to operational AI rather than building ML infrastructure in-house.",Partner,American Airlines Press Release,https://news.aa.com/,Completed
D049,2020-08-25,Southwest-Amazon Web Services Cloud Migration,Southwest Airlines,Amazon Web Services,Tech Partnership,IT/Cloud Infrastructure,North America,0,False,"Southwest selected AWS as its cloud provider to support direct-to-consumer applications and operational resilience, a buy decision for infrastructure to focus internal engineering on customer-facing features.",Partner,Southwest Airlines Press Release,https://www.swamedia.com/,Completed
D050,2019-05-13,Lufthansa Group-Amadeus Distribution Surcharge Standoff,Lufthansa Group,Amadeus/Sabre/Travelport,Tech Partnership,Distribution Tech,Europe,0,False,"Lufthansa's NDC surcharge on legacy GDS bookings pushed distribution toward direct/API channels, reshaping airline-GDS partnership economics industry-wide.",Partner,Lufthansa Group Press Release,https://www.lufthansagroup.com/en/newsroom.html,Completed
D051,2024-01-25,Alaska-Hawaiian DOJ Clearance,Alaska Air Group,Hawaiian Airlines,Acquisition,Network/Fleet Scale,North America,1900,True,"DOJ declined to challenge the merger after it found limited nonstop route overlap, contrasting with the JetBlue-Spirit block and showing how overlap analysis drives antitrust outcomes in airline M&A.",Buy,DOJ Press Release,https://www.justice.gov/opa,Completed
D052,2018-04-30,American-Alaska Loyalty Reciprocity Update,American Airlines,Alaska Airlines,Tech Partnership,Loyalty Tech,North America,0,False,"Updated mileage-earning reciprocity agreement to retain partnership value for elite flyers on both networks following Alaska's expansion after the Virgin America acquisition.",Partner,American Airlines Press Release,https://news.aa.com/,Completed
